id,name
931,jealousy
4290,toy
5202,boy
6054,friendship
9713,friends
9823,rivalry
165503,boy next door
170722,new toy
187065,toy comes to life
1495,fishing
12392,best friend
179431,duringcreditsstinger
208510,old men
818,based on novel
10131,interracial relationship
14768,single mother
15160,divorce
33455,chick flick
1009,baby
1599,midlife crisis
2246,confidence
4995,aging
5600,daughter
10707,mother daughter relationship
13149,pregnancy
33358,contraception
170521,gynecologist
642,robbery
703,detective
974,bank
1523,obsession
3713,chase
7281,shooting
9727,thief
9812,honor
9826,murder
9937,suspense
10051,heist
10085,betrayal
10594,money
10726,gang
15076,cat and mouse
18023,criminal mastermind
34117,cult film
156121,ex-con
159343,heist movie
159434,one last job
167104,loner
192261,bank job
207268,neo-noir
208009,gun fight
214983,crime epic
90,paris
380,brother brother relationship
2072,chauffeur
9398,long island
9492,fusion
33626,millionaire
949,terrorist
1562,hostage
1653,explosive
193533,vice president
701,cuba
769,falsely accused
1308,secret identity
2812,computer virus
3268,secret base
3272,secret intelligence service
3278,kgb
3376,satellite
3531,special car
3560,cossack
3561,electromagnetic pulse
3562,time bomb
3563,st. petersburg russia
3564,ejection seat
193008,red army
833,white house
840,usa president
1605,new love
33476,widower
211505,wildlife conservation
3633,dracula
11931,spoof
1994,wolf
6411,dog-sledding race
9880,alaska
15162,dog
15169,goose
158175,bear attack
158370,dog sled
158371,frozen lake
2946,presidential election
4240,watergate scandal
5565,biography
6086,government
6165,historical figure
911,exotic island
1454,treasure
1969,map
3799,ship
5470,scalp
12988,pirate
383,poker
726,drug abuse
1228,1970s
2635,overdose
33625,illegal prostitution
420,bowling
964,servant
2755,country life
7564,jane austen
10911,inheritance
11109,military officer
15060,period drama
156507,rainstorm
156510,horse and carriage
156512,decorum
409,africa
1551,indigenous
2526,human animal relationship
5155,bat
1552,subway
14512,new york city
155735,new york subway
156120,train robbery
395,gambling
416,miami
8438,job
9935,travel
10391,mafia
11061,debt
11578,mobster
12094,business
12396,hollywood
13142,gangster
14536,crime
14819,violence
14964,drug
33879,producer
159608,con
796,police brutality
2800,psychology
4668,police operation
5430,police protection
10714,serial killer
11268,psychologist
13001,cowardliness
271,competition
441,assassination
591,cia
977,cat
1666,mexican standoff
2350,seattle
2708,hitman
3045,mission of murder
3979,hidden camera
10084,rescue
10950,shootout
11148,police chase
12355,sniper rifle
18107,silencer
33456,double cross
167861,caribbean
178929,detroit michigan
7345,dead animal
11325,shot to death
18068,teenage boy
18320,held at gunpoint
41355,teacher student relationship
163531,albino
163533,fainting
163534,jacobs ladder
163540,christ allegory
163543,psionic power
163545,healing power
163552,looking pale
163553,flickering light
163558,extrasensory perception
30,individual
549,prostitute
567,alcohol
585,casino
699,love at first sight
725,lovesickness
887,film producer
888,screenwriter
922,hotel room
3737,dying and death
3927,rage and hate
6059,unsociability
7464,alcoholism
12670,los angeles
15237,alcohol abuse
155793,attempted suicide
497,shakespeare
17982,moor
5248,female friendship
10683,coming of age
170533,photocopier
170539,truth or dare
187056,woman director
1316,captain
33384,napoleonic wars
33386,old flame
33388,admiral
402,clone
1566,dream
2041,island
4484,eye
4565,dystopia
10103,children
14659,girl
157955,childhood
2311,cabaret
2682,shanghai
2992,diva
6464,uncle
11869,mistress
41277,umbrella
897,rap music
3436,karate
6270,high school
6610,naval officer
10508,teacher
155582,amusement park
222,schizophrenia
276,philadelphia
277,cassandra syndrom
278,stockholm syndrome
4379,time travel
4458,post-apocalyptic
14675,lethal virus
15149,monkey
162801,subterranean
3020,sheep
4931,pig
5608,affection
8082,piglet
11115,heroism
11477,talking animal
18013,separation
33671,german shepherd
158019,grandson
206052,talking pig
392,england
437,painter
8997,conscientious objector
10183,independent film
13065,soldier
378,prison
570,rape
1952,socially deprived family
2060,penalty
2122,death penalty
2300,despair
2501,death row
2538,begnadigung
2726,therapist
2796,self-discovery
2885,prison cell
3012,court case
3437,death sentence
3440,doomed man
3441,sentence
3442,lethal injection
3446,forgiveness
3447,charity
3448,mercy petition
6145,right and justice
6148,court
11263,electric chair
13014,orphan
204353,identical twin
1525,puberty
6664,make a match
7208,spoiled child
10199,gay interest
11933,conflict
3644,south africa
1930,kidnapping
13084,king
11254,loss of virginity
159640,hiding in a dumpster
159643,mercy killing
159660,armored truck
159661,crushed by a car
1279,medicine
2098,fountain
10329,wealth
44448,spaniel
44449,gloves
779,martial arts
1299,monster
10292,gore
10821,sorcerer
12380,tournament
41645,based on video game
188955,hand to hand combat
596,adultery
1442,winter
2136,television
6018,new hampshire
208477,narcissistic personality disorder
1334,wedding vows
1459,marriage proposal
2587,married couple
5773,monogamy
5999,advice
6038,marriage
9470,quilt
9673,love
33694,family holiday
34094,extramarital affair
164039,grandmother
476,self-fulfilling prophecy
1470,s.w.a.t.
2231,drug dealer
3597,evisceration
3857,lust and impulsiveness
3932,pride and vanity
4138,immoderateness
4142,insomnia
5340,investigation
6125,pension
6149,police
1463,culture clash
3591,settler
3691,forbidden love
4090,colony
4344,musical
4542,gold rush
7376,princess
9840,romance
10322,native american
10336,animation
160977,virginia
165086,star crossed lovers
173808,reference to pizarro
173811,jamestown virginia
173815,pug dog
173823,cross cultural relationship
173824,musket
173825,animate tree
180217,indian chief
185343,based on myths or folklore
207941,17th century
208426,shamanism
225547,songs
230456,indians vs. settlers
234183,animal sidekick
234184,powhatan
234185,land claim
1992,professor
158718,lgbt
3703,law
5493,relatives
14604,theft
15009,criminal
18024,hungarian
18027,sibling
2393,adoption
4130,adoptive father
5885,childlessness
6230,looking for  birth parents
8018,adoptive mother
208349,child
6075,sport
9963,kids and family
13042,soccer
2679,artist
6027,music
33624,band
2672,baltimore
4543,thanksgiving
7629,family clan
155294,family conflict
171760,generations conflict
3344,letter
4461,postman
5420,fisherman
5933,poet
1990,cupboard
6186,games
6300,puppet
33465,parallel world
1419,gun
2801,self-defense
204959,grieving parents
1233,composer
1310,mentor
1635,deaf-mute
4488,apprentice
5289,private life
158558,disabled
248,date
398,slang
898,hip-hop
4438,cousin
9755,parody
10700,hood
11514,social satire
12425,racism
5918,painting
167868,seasickness
4166,biotope
4459,vegetarian
6305,pollution
2157,hacker
4563,virtual reality
6104,computer
9725,sword fight
128,love triangle
2335,southern france
2918,estate agent
3190,menage a trois
4580,van
970,parent child relationship
4562,rapper
246,dancing
459,sexual obsession
797,showdown
798,sheriff
1664,eroticism
2483,nudity
2492,bank robber
3133,vampire
3649,holy water
4063,siege
6593,stripper
10093,priest
14601,explosion
14687,extreme violence
15363,bank robbery
18072,preacher
18233,hostage situation
41380,crucifix
163795,recreational vehicle
167664,blood spurting
168152,convenience store
174878,female vampire
188711,mexican american border
191441,nightclub entertainer
227811,boa constrictor
258,bomb
572,sex
772,handcuffs
1812,fbi
2808,russian
4426,sadism
4530,parking garage
4735,pizza
6259,psychopath
9714,remake
9844,car crash
10410,conspiracy
10562,on the run
10718,fugitive
12371,gunfight
13125,sadist
14967,foot chase
15167,police detective
15321,police station
15483,car chase
18525,fbi agent
155555,computer hacker
156650,machine gun
156788,swat team
156816,grenade launcher
158247,underwater scene
176802,rogue agent
181145,woman lawyer
188294,damsel in distress
3616,college
745,nun
2792,boxer
10909,lawyer
11508,jewish
2778,florist
10235,family relationships
10624,bully
312,man vs machine
10158,alien planet
15354,struggle for survival
6381,loss of daughter
6440,hit-and-run driving 
9748,revenge
10614,tragedy
1417,jurors
1936,blackmail
5153,son
11038,trial
33519,courtroom
1357,fish
33648,celebration
40846,goldfish
494,father son relationship
801,bounty hunter
1422,boat
1587,way of life
1909,coffin
1977,denver
2022,godmother
2340,paranoia
10738,diner
11221,blood
236,suicide
240,underdog
460,free love
490,philosophy
791,mentally disabled
936,loss of mother
1842,village life
1956,world war ii
2383,feminism
3154,indian summer 
3371,family history
4129,widow
4402,peasant
5331,village
6009,mathematics
6089,freedom
9457,single
10180,homosexuality
11925,domestic violence
13160,university
6984,racial segregation
11004,rural setting
12532,african american
4034,class society
7579,rich woman - poor man
14760,scientist
182662,naturalist
208526,insect
2082,sailing trip
2913,diary
3180,sailing
10349,survival
46962,discipline
167836,squall
167837,sail
167843,ship captain
167863,male bonding
168683,storm at sea
208992,1960s
5306,boss
5572,fistfight
14762,orangutan
158039,hotel manager
169078,nitrous oxide
169079,candid camera
169085,double act
169086,political satire
169097,crooked politician
477,train station
6078,politics
10124,laboratory
156033,jekyll and hyde
191009,housemaid
207928,19th century
3630,half vampire
155808,hometown
720,helicopter
1261,river
1353,underground
1825,countdown
3203,pilot
8122,canyon
9052,major
13008,train
15263,park ranger
18034,desert
162365,military
208547,nuclear device
209476,boxing
214472,stealth aircraft
215861,abandoned mine
219869,humvee
14531,play
185011,hamlet
207317,christmas
207716,actor
376,neo-nazi
379,skinhead
1974,breakdance
1975,arabian
3925,boredom
14632,suburb
15090,police officer
156052,unemployment
156702,capture
160910,xenophobia
2398,narration
13059,prostitution
417,corruption
1568,undercover
1601,war on drugs
1919,mayor
4654,undercover agent
1437,burglar
2568,language barrier
2669,motel
10323,psychiatric hospital
13097,maid
15274,nervous breakdown
187710,escapade
187717,laundry room
1157,wife husband relationship
1706,experiment
10937,memory
160313,forensic
163114,gunman
168069,animal experimentation
