id,adult,budget,homepage,original_language,original_title,title,tagline,overview,popularity,release_date,revenue,runtime
862,False,30000000,http://toystory.disney.com/toy-story,en,"Toy Story","Toy Story",,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,1995-10-30,373554033,81.0
8844,False,65000000,,en,Jumanji,Jumanji,"Roll the dice and unleash the excitement!","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,1995-12-15,262797249,104.0
15602,False,0,,en,"Grumpier Old Men","Grumpier Old Men","Still Yelling. Still Fighting. Still Ready for Love.","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorc�e opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,1995-12-22,0,101.0
31357,False,16000000,,en,"Waiting to Exhale","Waiting to Exhale","Friends are the people who let you be yourself... and never let you forget it.","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,1995-12-22,81452156,127.0
11862,False,0,,en,"Father of the Bride Part II","Father of the Bride Part II","Just When His World Is Back To Normal... He's In For The Surprise Of His Life!","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,1995-02-10,76578911,106.0
949,False,60000000,,en,Heat,Heat,"A Los Angeles Crime Saga","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,1995-12-15,187436818,170.0
11860,False,58000000,,en,Sabrina,Sabrina,"You are cordially invited to the most surprising merger of the year.","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,1995-12-15,0,127.0
45325,False,0,,en,"Tom and Huck","Tom and Huck","The Original Bad Boys.","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,1995-12-22,0,97.0
9091,False,35000000,,en,"Sudden Death","Sudden Death","Terror goes into overtime.","International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,1995-12-22,64350171,106.0
710,False,58000000,http://www.mgm.com/view/movie/757/Goldeneye/,en,GoldenEye,GoldenEye,"No limits. No fears. No substitutes.","James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.",14.686036,1995-11-16,352194034,130.0
