cid,movie_id,character,gender,person_id,name
3,2,"Taisto Olavi Kasurinen",0,54768,"Turo Pajala"
4,2,"Irmeli Katariina Pihlaja",0,54769,"Susanna Haavisto"
5,2,Mikkonen,2,4826,"Matti Pellonpää"
6,2,Riku,0,54770,"Eetu Hilkamo"
24,5,Jezebel,1,3122,"Sammi Davis"
25,5,Diana,1,3123,"Amanda de Cadenet"
26,5,Athena,1,3124,"Valeria Golino"
27,5,Elspeth,1,3125,Madonna
28,5,Eva,1,3126,"Ione Skye"
29,5,Raven,1,3127,"Lili Taylor"
30,5,Kiva,1,3128,"Alicia Witt"
31,5,Angela,1,3130,"Jennifer Beals"
32,5,Siegfried,2,2555,"David Proval"
33,5,Man,2,3131,"Antonio Banderas"
34,5,Sarah,1,3132,"Lana McKissack"
35,5,Corpse,1,3133,"Patricia Vonne"
36,5,Wife,1,3134,"Tamlyn Tomita"
37,5,Juancho,0,3135,"Danny Verduzco"
38,5,"TV Dancing Girl",1,3136,"Salma Hayek"
39,5,Norman,2,3137,"Paul Calderon"
40,5,"Chester Rush",2,138,"Quentin Tarantino"
41,5,"Long Hair Yuppy Scum",2,2545,"Lawrence Bender"
42,5,Betty,1,3138,"Kathy Griffin"
43,5,Margaret,1,3141,"Marisa Tomei"
44,5,"Ted the Bellhop",2,3129,"Tim Roth"
45,5,Leo,2,62,"Bruce Willis"
46,5,Hooker,0,37336,"Kimberly Blair"
47,5,"Sam the Bellhop",2,3140,"Marc Lawrence"
65,6,"Frank Wyatt",2,2880,"Emilio Estevez"
66,6,"Mike Peterson",2,9777,"Cuba Gooding Jr."
67,6,Fallon,2,5724,"Denis Leary"
68,6,"Ray Cochran",2,12799,"Jeremy Piven"
69,6,Sykes,2,11803,"Peter Greene"
70,6,"Teddy, the Kid",2,52422,"Michael DeLorenzo"
71,6,Rhodes,0,121667,Everlast
72,6,Travis,2,102710,"Michael Wiseman"
73,6,Dre,0,1077264,"Relioues Webb"
74,6,Buck,2,154124,"Eugene Williams"
75,6,"Linda Wyatt",1,55964,"Christine Harnos"
76,6,Clarissa,1,105988,"Galyn Görg"
77,6,Rita,1,22621,"Angela Alvarado"
78,6,"John Wyatt",2,10822,"Stephen Dorff"
81,11,"Luke Skywalker",2,2,"Mark Hamill"
82,11,"Han Solo",2,3,"Harrison Ford"
83,11,"Princess Leia Organa",1,4,"Carrie Fisher"
84,11,"Grand Moff Tarkin",2,5,"Peter Cushing"
85,11,"See Threepio (C-3PO)",2,6,"Anthony Daniels"
86,11,"Artoo-Detoo (R2-D2)",2,130,"Kenny Baker"
92,11,"Obi-Wan ""Ben"" Kenobi",2,12248,"Alec Guinness"
93,11,Chewbacca,2,24343,"Peter Mayhew"
