cid,movie_id,department,gender,person_id,job,name
1,2,Writing,0,16767,Screenplay,"Aki Kaurismäki"
2,2,Directing,0,16767,Director,"Aki Kaurismäki"
7,2,Camera,2,16769,"Director of Photography","Timo Salminen"
8,2,Editing,0,54766,Editor,"Raija Talvio"
9,2,Art,2,53836,"Production Design","Risto Karhula"
10,2,"Costume & Make-Up",0,54771,"Costume Design","Tuula Hilkamo"
11,5,Sound,0,3116,"Original Music Composer","Combustible Edison"
12,5,Art,2,3117,"Production Design","Gary Frutkoff"
13,5,Sound,0,3119,"Sound Designer","Lance Brown"
14,5,Directing,1,3110,Director,"Allison Anders"
15,5,Directing,2,3111,Director,"Alexandre Rockwell"
16,5,Directing,2,2294,Director,"Robert Rodriguez"
17,5,Directing,2,138,Director,"Quentin Tarantino"
18,5,Production,2,2545,Producer,"Lawrence Bender"
19,5,Production,2,138,"Executive Producer","Quentin Tarantino"
20,5,Production,2,3111,"Executive Producer","Alexandre Rockwell"
21,5,Production,2,3118,Casting,"Russell Gray"
22,5,Art,2,11423,"Art Direction","Mayne Berke"
23,5,Art,1,9042,"Set Decoration","Sara Andrews"
48,5,Writing,1,3110,Writer,"Allison Anders"
49,5,Writing,2,3111,Writer,"Alexandre Rockwell"
50,5,Writing,2,2294,Writer,"Robert Rodriguez"
51,5,Writing,2,138,Writer,"Quentin Tarantino"
52,5,Camera,2,77162,"Director of Photography","Rodrigo García"
53,5,Camera,2,3113,"Director of Photography","Guillermo Navarro"
54,5,Camera,2,3114,"Director of Photography","Phil Parmet"
55,5,Camera,2,3115,"Director of Photography","Andrzej Sekula"
56,5,Editing,1,1041072,Editor,"Margaret Goodspeed"
57,5,Editing,0,3121,Editor,"Elena Maganini"
58,5,Editing,1,156,Editor,"Sally Menke"
59,5,Editing,2,2294,Editor,"Robert Rodriguez"
60,6,Directing,2,2042,Director,"Stephen Hopkins"
61,6,Writing,2,52035,Screenplay,"Lewis Colick"
62,6,Production,0,71417,Producer,"Gene Levy"
63,6,Sound,2,37,"Original Music Composer","Alan Silvestri"
64,6,Camera,2,2044,"Director of Photography","Peter Levy"
79,6,Editing,0,71194,Editor,"Tim Wellburn"
80,11,Directing,2,1,Director,"George Lucas"
87,11,Production,2,1,"Executive Producer","George Lucas"
88,11,Production,2,12401,Producer,"Gary Kurtz"
89,11,Production,0,19801,Producer,"Rick McCallum"
90,11,Sound,2,491,"Original Music Composer","John Williams"
91,11,Camera,2,7753,"Director of Photography","Gilbert Taylor"
189,12,Directing,2,7,Director,"Andrew Stanton"
190,12,Production,2,9,Producer,"Graham Walters"
201,12,Production,2,7879,"Executive Producer","John Lasseter"
202,12,Editing,2,12914,Editor,"David Ian Salter"
203,12,Sound,2,153,"Original Music Composer","Thomas Newman"
204,12,Writing,2,7,Screenplay,"Andrew Stanton"
205,12,Writing,2,10,Screenplay,"Bob Peterson"
206,12,Writing,2,11,Screenplay,"David Reynolds"
219,13,Directing,2,24,Director,"Robert Zemeckis"
220,13,Production,1,28,Producer,"Wendy Finerman"
221,13,Production,2,29,Producer,"Steve Tisch"
222,13,Production,2,30,Producer,"Steve Starkey"
228,13,Camera,2,36,"Director of Photography","Don Burgess"
229,13,Sound,2,37,"Original Music Composer","Alan Silvestri"
230,13,Editing,2,38,Editor,"Arthur Schmidt"
232,13,Writing,2,27,Screenplay,"Eric Roth"
236,14,Directing,2,39,Director,"Sam Mendes"
237,14,Writing,2,2152,Author,"Alan Ball"
249,14,Production,2,8215,Producer,"Bruce Cohen"
250,14,Production,2,8216,Producer,"Dan Jinks"
251,14,Sound,2,153,"Original Music Composer","Thomas Newman"
252,14,Camera,0,8217,"Director of Photography","Conrad L. Hall"
253,14,Editing,2,7414,Editor,"Christopher Greenbury"
254,14,Editing,2,8219,Editor,"Tariq Anwar"
255,14,Production,1,495,Casting,"Debra Zane"
256,14,Art,2,8221,"Art Direction","David Lazan"
257,14,"Costume & Make-Up",1,8222,"Costume Design","Julie Weiss"
258,14,Writing,2,2152,Screenplay,"Alan Ball"
259,15,Directing,2,40,Director,"Orson Welles"
260,15,Production,2,40,Producer,"Orson Welles"
272,15,Production,0,11034,Producer,"Richard Baer"
273,15,Production,2,11035,"Executive Producer","George Schaefer"
274,15,Sound,2,1045,"Original Music Composer","Bernard Herrmann"
275,15,Camera,2,8504,"Director of Photography","Gregg Toland"
276,15,Editing,2,1744,Editor,"Robert Wise"
277,15,Art,2,11036,"Art Direction","Van Nest Polglase"
278,15,"Costume & Make-Up",2,10153,"Costume Design","Edward Stevenson"
279,15,Crew,2,3252,"Special Effects","Vernon L. Walker"
281,15,Writing,2,40,Screenplay,"Orson Welles"
282,15,Writing,2,30012,Screenplay,"Herman J. Mankiewicz"
283,15,Writing,0,1040011,Writer,"Roger Q. Denny"
284,15,Writing,0,11783,Writer,"John Houseman"
285,15,Writing,0,1117970,Writer,"Mollie Kent"
293,16,Directing,2,42,Director,"Lars von Trier"
297,16,Production,0,6146,Producer,"Vibeke Windeløv"
315,16,Production,2,1174,"Executive Producer","Peter Aalbæk Jensen"
316,16,Production,0,6759,Producer,"Friðrik Þór Friðriksson"
317,16,Production,0,6760,Producer,"Finn Gjerdrum"
318,16,Production,0,6761,Producer,"Mogens Glad"
319,16,Production,0,6762,Producer,"Anja Grafers"
320,16,Production,0,6763,Producer,"Torleif Hauge"
321,16,Production,0,6764,Producer,"Tero Kaukomaa"
322,16,Production,0,6765,Producer,"Poul Erik Lindeborg"
323,16,Production,0,6766,Producer,"Els Vandevorst"
325,16,Camera,2,1632,"Director of Photography","Robby Müller"
326,16,Editing,2,6794,Editor,"François Gédigier"
327,16,Editing,1,6156,Editor,"Molly Malene Stensgaard"
328,16,Production,1,2952,Casting,"Avy Kaufman"
